"","ID","date","postcode","property_type","whether_old_or_new","freehold_or_leasehold","address1","address2","address3","town","local_aut","county","postcode_short","current_energy_rating","total_floor_area","number_habitable_rooms","co2_emissions_current","co2_emissions_potential","energy_consumption_current","energy_consumption_potential","windows_energy_eff","tenure","latitude","longitude","population","altitude","london_zone","nearest_station","water_company","average_income","district","type_of_closest_station","num_tube_lines","num_rail_lines","num_light_rail_lines","distance_to_station","asking_price","predicted_price","difference","buy"
"1",838,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"SW10","D",414,10,20,10,216,112,"Average","owner-occupied",51.488618,-0.181685,20,14,1,"gloucester road","Thames Water",63300,"Kensington and Chelsea","tube",3,0,0,0.6313424,16513000,8751173.0964073,7761826.9035927,1
"2",12120,NA,NA,"D","N","F",NA,NA,NA,"ST JOHNS WOOD",NA,NA,"NW8","D",360,10,13,6,211,94,"Very Poor","rental (social)",51.539595,-0.180995,84,42,2,"south hampstead","Thames Water",59600,"Westminster","light_rail",0,0,1,0.301379,6830000,4092576.28369228,2737423.71630772,1
"3",3856,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW1","C",75,3,3.2,3.2,254,254,"Very Poor","owner-occupied",51.539179,-0.150355,57,36,2,"camden town","Thames Water",54500,"Camden","tube",1,0,0,0.4933916,3270000,646244.97234042,2623755.02765958,1
"4",14030,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"TW10","C",467,12,12.9,11.8,157,142,"Average","owner-occupied",51.462061,-0.281695,62,20,3,"north sheen","Thames Water",60900,"Richmond upon Thames","rail",0,1,0,0.7357376,6090000,4005732.65033894,2084267.34966106,1
"5",7560,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W1J","C",108,3,2.3,2.1,114,102,"Average","owner-occupied",51.509665,-0.143524,10,36,1,"green park","Thames Water",59000,"Westminster","tube",3,0,0,0.1590784,3392000,1426631.17947098,1965368.82052902,1
"6",9189,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"W2","E",232,8,12,6.2,282,150,"Poor","rental (private)",51.517985,-0.193762,80,27,2,"royal oak","Thames Water",56500,"Westminster","tube",2,0,0,0.3436342,4525000,2569433.4326819,1955566.5673181,1
"7",13834,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"W11","E",402,7,17.4,10.5,245,148,"Average","owner-occupied",51.509067,-0.207948,53,16,2,"holland park","Thames Water",61700,"Kensington and Chelsea","tube",1,0,0,0.1124734,8586000,6661223.5982298,1924776.4017702,1
"8",8070,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W11","D",149,5,4.8,2.5,182,96,"Poor","owner-occupied",51.506283,-0.207034,69,21,2,"holland park","Thames Water",60100,"Kensington and Chelsea","tube",1,0,0,0.2957864,4007000,2312171.30607942,1694828.69392058,1
"9",2330,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"W2","D",241.26,9,8.8,8.5,211,202,"Very Poor","owner-occupied",51.517335,-0.192966,45,26,2,"royal oak","Thames Water",56500,"Westminster","tube",2,0,0,0.397696,4517000,2837207.82098334,1679792.17901666,1
"10",9173,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"SW19","E",254,8,14.2,6.4,316,142,"Very Poor","owner-occupied",51.422948,-0.221675,74,58,3,"wimbledon","Thames Water",67000,"Merton","tube",1,1,1,0.8767954,3791000,2225471.61586239,1565528.38413761,1
